Map download counts from MCResourcePile
Begin Date: March 14th, 2017
End Date: May 14th, 2017

Map Name                        Total Downloads Unique Downloads
Ring Race                       29              10              
A Journey Through History       22              8               
Deepwind Jungle                 19              13              
Airship Battle                  16              12              
Dynamo                          16              8               
Foundry                         15              5               
Araxa                           13              8               
Artholis                        12              4               
Avalon Funland                  11              11              
Hot Dam                         11              10              
Agrostid                        10              10              
Blocks DTC                      10              10              
Empire                          10              10              
Spaceship Battles               9               9               
Avalanche: Mini                 8               8               
BalloonsDTM                     8               2               
Fairy Tales 2: A Tale or Two    8               7               
Golden Drought: TE              8               5               
Hot Dam: Mini                   8               8               
Acear II                        7               7               
Antiquis                        7               7               
Desert Country                  7               5               
Golden Drought IV               7               6               
Placid Spring                   7               6               
Snowy Wars                      7               7               
Argon                           6               5               
Ascendance                      6               6               
Avalanche                       6               6               
Coral Reef II                   6               6               
Fractal Decent                  6               6               
Garden of Tholos                6               5               
Golden Drought III              6               6               
Golden Drought III: TE          6               6               
Wooly Woods                     6               5               
Acear I                         5               5               
Aztec                           5               5               
Bamboo Valley V                 5               5               
Bill's Town Blitz               5               5               
Chocolate Diamonds              5               3               
Facility                        5               5               
Jungle Beat                     5               5               
Pirate Attack                   5               5               
Riverbank                       5               5               
Apple Picking                   4               4               
Arodisae                        4               4               
Bamboo Valley IV                4               4               
Bill's Town                     4               4               
Blocks II                       4               4               
Fracture                        4               4               
Lazer Tag: Facility             4               3               
Mini Drought                    4               4               
Pixel Run                       4               4               
Pompeii                         4               3               
Rage Quit                       4               4               
Scrap Mettle                    4               4               
Siege                           4               4               
Viridun                         4               4               
Warlock                         4               4               
Welcome to Wool Square          4               4               
Winterhold                      4               3               
Wit's End                       4               4               
A SpOOky Sunset                 3               3               
Blocks CTW                      3               3               
Blocks: Destroy the Dynamite    3               3               
BR: World of Sports             3               3               
Build: Parkour                  3               3               
Cake Day                        3               3               
Cloud Nine                      3               3               
Coral Reef                      3               3               
Crossfire                       3               3               
Dead Heat                       3               3               
Ender Blast                     3               3               
Enthral                         3               3               
Fallen Debris                   3               3               
Gleon                           3               3               
Jyngli                          3               3               
Latch 2                         3               3               
Lump                            3               3               
Masarin II                      3               3               
Midnight Train                  3               3               
No Return                       3               3               
Ozone                           3               3               
Palace CTF                      3               3               
Prevagen                        3               3               
Retro KoTF                      3               3               
Rooted Frontier                 3               3               
Runes of Ruin                   3               3               
Secluded Palace                 3               1               
Tebulas                         3               3               
Twisted                         3               3               
Village                         3               3               
Biomes                          2               2               
Blocks                          2               2               
BR: Christmas                   2               2               
BR: Classic                     2               2               
Brisked                         2               2               
Cat's Cradle                    2               2               
Catacomb                        2               2               
Escensio                        2               2               
Fractal Decent: TE              2               2               
Gobi                            2               2               
Green Hill Zone                 2               2               
Infection: Bill's Town          2               2               
Kytriak (TE)                    2               2               
Library DTE                     2               2               
Long Shot                       2               2               
Mayan Apocalypse                2               2               
Metro                           2               2               
Nartica                         2               2               
Net                             2               2               
Pentamill                       2               2               
Pharaohs Palace                 2               2               
Ping Bomb II                    2               2               
Pirate Cove                     2               2               
School's Out!                   2               2               
Temple Valley                   2               1               
Thicket                         2               2               
Versatile                       2               2               
Alien                           1               1               
Antiquis TE                     1               1               
Assembly                        1               1               
Blossom Falls                   1               1               
Blossom Falls: Elytra KotF      1               1               
BR: Halloween                   1               1               
Build: Dropper                  1               1               
Camping                         1               1               
Clay Wars                       1               1               
Cosmic Assault                  1               1               
Danagal Stronghold              1               1               
Desert Cataract                 1               1               
Drow's Crevice II               1               1               
DynaboOo                        1               1               
Dynamight Versus                1               1               
Forsaken Fort                   1               1               
Frontier                        1               1               
Ghost Spleef                    1               1               
Juggernaut's Hamlet             1               1               
Jungletree Bazooka              1               1               
Lights Out                      1               1               
Maisosen                        1               1               
Mesa                            1               1               
Neyud                           1               1               
Ping Bomb                       1               1               
Puddin' Pops                    1               1               
Ravine                          1               1               
Rendezvous Meadows              1               1               
Retaliation                     1               1               
Retaliation 2                   1               1               
Secluded Caverns: FFA           1               1               
Secluded Oasis                  1               1               
Sheep Scramble                  1               1               
Snowy Diamonds                  1               1               
Space Race: 1969                1               1               
Spinal Vertigo                  1               1               
Swamped                         1               1               
The Grand Dueling Tournament    1               1               
The Grand Dueling Tournament II 1               1               
Titan                           1               1               
Tree of Life                    1               1               
Trinus                          1               1               
Undead Heat                     1               1               
Wallop                          1               1               
Wallop Too                      1               1               
Wonderland                      1               1               
                                646             546             
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
                                                                
